index,Player ID,Inducted into HOF,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Weight,Height,Batting Hand,Throwing Hand,MLB Debut,Final MLB Game,Award Name,All Star Games Played
39435,robined01,N,1315.0,4282.0,546.0,1146.0,172.0,24.0,172.0,723.0,10.0,12.0,521.0,359.0,10.0,50.0,33.0,5.0,100.0,210.0,74.0,L,R,1942-09-09,1957-09-15,None,4.0
16876,robinbr01,Y,2896.0,10654.0,1232.0,2848.0,482.0,68.0,268.0,1357.0,28.0,22.0,860.0,990.0,120.0,53.0,101.0,114.0,297.0,180.0,73.0,R,R,1955-09-17,1977-08-13,Gold Glove,18.0
17830,robinbi02,N,1472.0,4364.0,536.0,1127.0,229.0,29.0,166.0,641.0,71.0,49.0,263.0,820.0,49.0,16.0,37.0,49.0,128.0,189.0,74.0,R,R,1966-09-20,1983-05-23,None,0
39377,roberbr01,N,1418.0,5531.0,850.0,1527.0,367.0,39.0,97.0,542.0,285.0,73.0,609.0,844.0,26.0,13.0,48.0,49.0,82.0,175.0,69.0,B,R,2001-06-14,2014-07-28,TSN All-Star,2.0
39375,roberbi01,N,1202.0,4147.0,663.0,1220.0,203.0,31.0,30.0,352.0,264.0,95.0,396.0,548.0,19.0,30.0,27.0,31.0,59.0,150.0,67.0,B,R,1986-04-07,1998-09-27,None,1.0
11371,rizzuph01,N,1661.0,5816.0,877.0,1588.0,239.0,62.0,38.0,563.0,149.0,58.0,651.0,398.0,1.0,49.0,193.0,2.0,107.0,150.0,66.0,R,R,1941-04-14,1956-08-16,TSN All-Star,4.0
39355,rizzoan01,N,1406.0,5113.0,762.0,1372.0,291.0,21.0,251.0,814.0,66.0,36.0,661.0,945.0,68.0,178.0,0.0,40.0,119.0,240.0,75.0,L,L,2011-06-09,2021-10-03,Gold Glove,3.0
17872,rivermi01,N,1468.0,5629.0,785.0,1660.0,247.0,71.0,61.0,499.0,267.0,90.0,266.0,471.0,20.0,22.0,75.0,35.0,44.0,165.0,70.0,L,L,1970-08-04,1984-09-30,TSN All-Star,1.0
39321,riverju01,N,1058.0,3471.0,425.0,950.0,182.0,4.0,132.0,539.0,17.0,26.0,253.0,448.0,15.0,20.0,4.0,39.0,127.0,220.0,74.0,R,R,2001-09-04,2012-10-03,None,0
39320,riverji01,N,1171.0,3552.0,503.0,911.0,155.0,56.0,83.0,422.0,160.0,70.0,365.0,523.0,22.0,23.0,44.0,24.0,56.0,196.0,72.0,L,L,1952-04-15,1961-09-30,None,0
7370,ritchcl01,N,1672.0,5923.0,709.0,1619.0,216.0,68.0,18.0,675.0,155.0,0.0,607.0,290.0,0.0,72.0,224.0,0.0,0.0,167.0,66.0,B,R,1897-04-22,1909-06-24,None,0
21773,ripkeca01,Y,3001.0,11551.0,1647.0,3184.0,603.0,44.0,431.0,1695.0,36.0,39.0,1129.0,1305.0,107.0,66.0,10.0,127.0,350.0,200.0,76.0,R,R,1981-08-10,2001-10-06,All-Star Game MVP,18.0
39282,riosal01,N,1691.0,6419.0,885.0,1778.0,374.0,63.0,169.0,794.0,253.0,77.0,400.0,1117.0,24.0,45.0,2.0,61.0,193.0,210.0,77.0,R,R,2004-05-27,2015-10-04,None,1.0
3014,richaha01,N,1334.0,5657.0,1127.0,1694.0,305.0,126.0,73.0,828.0,207.0,0.0,377.0,446.0,0.0,10.0,0.0,0.0,0.0,170.0,69.0,R,R,1879-05-01,1892-09-10,None,0
39199,richage01,N,1026.0,3549.0,502.0,1028.0,127.0,63.0,26.0,255.0,247.0,89.0,356.0,436.0,39.0,20.0,20.0,13.0,56.0,175.0,72.0,L,L,1977-04-06,1984-09-30,None,0
39193,richada01,N,1131.0,4451.0,676.0,1129.0,149.0,52.0,32.0,558.0,225.0,0.0,283.0,289.0,0.0,17.0,4.0,0.0,0.0,165.0,68.0,R,R,1884-05-22,1894-09-24,None,0
14485,richabo01,N,1412.0,5386.0,643.0,1432.0,196.0,37.0,34.0,390.0,73.0,48.0,262.0,243.0,20.0,7.0,98.0,30.0,100.0,170.0,69.0,R,R,1955-08-05,1966-10-02,TSN All-Star,6.0
5718,ricesa01,N,2404.0,9269.0,1514.0,2987.0,498.0,184.0,34.0,1078.0,351.0,143.0,708.0,275.0,0.0,56.0,213.0,0.0,0.0,150.0,69.0,L,R,1915-08-07,1934-09-18,Baseball Magazine All-Star,0
19164,riceji01,N,2089.0,8225.0,1249.0,2452.0,373.0,79.0,382.0,1451.0,58.0,34.0,670.0,1423.0,77.0,64.0,5.0,94.0,315.0,200.0,74.0,R,R,1974-08-19,1989-08-03,TSN All-Star,7.0
39183,riceha01,N,1034.0,3740.0,620.0,1118.0,186.0,63.0,48.0,506.0,59.0,55.0,376.0,194.0,0.0,32.0,99.0,0.0,14.0,185.0,69.0,L,R,1923-04-18,1933-10-01,None,0
13622,ricede01,N,1309.0,3826.0,342.0,908.0,177.0,20.0,79.0,441.0,2.0,3.0,382.0,522.0,23.0,34.0,63.0,7.0,103.0,190.0,74.0,R,R,1945-05-02,1961-08-31,None,0.0
39156,reynoma01,N,1688.0,5432.0,794.0,1283.0,253.0,14.0,298.0,871.0,64.0,31.0,707.0,1927.0,26.0,56.0,3.0,45.0,117.0,220.0,74.0,R,R,2007-05-16,2019-07-19,None,0
39154,reynoha01,N,1374.0,4782.0,640.0,1233.0,230.0,53.0,21.0,353.0,250.0,138.0,480.0,417.0,11.0,27.0,76.0,33.0,68.0,165.0,71.0,B,R,1983-09-02,1994-08-07,Roberto Clemente Award,2.0
39147,reynocr01,N,1491.0,4466.0,480.0,1142.0,143.0,65.0,42.0,377.0,58.0,32.0,227.0,406.0,34.0,9.0,124.0,37.0,49.0,175.0,73.0,L,R,1975-08-01,1989-09-27,None,1.0
39144,reynoca01,N,1222.0,4495.0,672.0,1357.0,247.0,107.0,80.0,699.0,112.0,40.0,260.0,308.0,0.0,42.0,82.0,0.0,19.0,194.0,72.0,R,R,1927-09-01,1939-10-01,None,0
39132,reyesjo01,N,1877.0,7552.0,1180.0,2138.0,387.0,131.0,145.0,719.0,517.0,127.0,589.0,914.0,56.0,11.0,50.0,38.0,82.0,195.0,72.0,B,R,2003-06-10,2018-09-30,TSN All-Star,1.0
39117,reverbe01,N,857.0,3138.0,400.0,892.0,88.0,37.0,7.0,198.0,211.0,53.0,151.0,308.0,3.0,14.0,28.0,12.0,61.0,175.0,69.0,L,R,2010-09-07,2017-10-01,None,0
39103,repulri01,N,928.0,3088.0,407.0,830.0,153.0,23.0,106.0,416.0,25.0,29.0,207.0,433.0,9.0,33.0,20.0,30.0,90.0,195.0,72.0,R,R,1953-04-14,1961-06-18,None,1.0
23975,renteed01,N,2152.0,8142.0,1200.0,2327.0,436.0,29.0,140.0,923.0,294.0,108.0,718.0,1182.0,42.0,31.0,99.0,76.0,241.0,200.0,73.0,R,R,1996-05-10,2011-09-28,World Series MVP,5.0
39086,rendoan01,N,1026.0,3830.0,624.0,1100.0,269.0,16.0,151.0,611.0,45.0,16.0,476.0,682.0,30.0,51.0,4.0,47.0,77.0,200.0,73.0,R,R,2013-04-21,2021-07-04,TSN All-Star,0.0
17878,remyje01,N,1154.0,4455.0,605.0,1226.0,140.0,38.0,7.0,329.0,208.0,99.0,356.0,404.0,10.0,4.0,116.0,32.0,83.0,165.0,69.0,L,R,1975-04-07,1984-05-18,None,0.0
39073,reitzke01,N,1344.0,4777.0,366.0,1243.0,243.0,12.0,68.0,548.0,10.0,14.0,184.0,518.0,47.0,35.0,34.0,49.0,157.0,180.0,72.0,R,R,1972-09-05,1982-06-03,Gold Glove,1.0
39048,reilljo01,N,1142.0,4684.0,898.0,1352.0,215.0,139.0,69.0,740.0,245.0,0.0,157.0,241.0,0.0,94.0,0.0,0.0,0.0,178.0,75.0,R,R,1880-05-18,1891-10-03,None,0
16339,reichri01,N,997.0,3307.0,391.0,864.0,109.0,24.0,116.0,445.0,40.0,41.0,263.0,672.0,20.0,66.0,25.0,24.0,90.0,210.0,75.0,R,R,1964-09-01,1974-04-09,None,0
12736,reesepe01,N,2166.0,8058.0,1338.0,2170.0,330.0,80.0,126.0,885.0,232.0,45.0,1210.0,890.0,3.0,26.0,157.0,19.0,176.0,160.0,70.0,R,R,1940-04-23,1958-09-26,Lou Gehrig Memorial Award,8.0
39004,reedjo01,N,1284.0,4554.0,566.0,1231.0,263.0,10.0,27.0,392.0,40.0,44.0,542.0,407.0,29.0,30.0,89.0,33.0,118.0,170.0,69.0,R,R,1987-09-12,1997-08-22,None,0
